fill	y	x	clickSelects	showSelected1	PANEL
#FF0000	0.2143177696402	1	1	rpart	1
#FF0000	0.0706289317409946	1	3	rpart	1
#FF0000	0.045718888750935	1	5	rpart	1
#FF0000	0.240092589475104	2	7	rpart	1
#FF0000	0.0576144032562084	2	9	rpart	1
#FF0000	0.0109793460169289	2	11	rpart	1
#FF0000	0.274681409118359	3	13	rpart	1
#FF0000	0.153902330948121	3	15	rpart	1
#FF0000	0.0828805794165276	3	17	rpart	1
#0000FF	0.476330601879191	1	1	featureless	1
#0000FF	0.412529872067724	1	3	featureless	1
#0000FF	0.309537601853079	1	5	featureless	1
#0000FF	0.480010441608571	2	7	featureless	1
#0000FF	0.412439294847025	2	9	featureless	1
#0000FF	0.309433964165447	2	11	featureless	1
#0000FF	0.473491930348407	3	13	featureless	1
#0000FF	0.412644359307271	3	15	featureless	1
#0000FF	0.309641885215838	3	17	featureless	1
#FF0000	0.116823513877275	1	2	rpart	2
#FF0000	0.144834108542458	1	4	rpart	2
#FF0000	-0.0324709800403724	1	6	rpart	2
#FF0000	0.167081898559703	2	8	rpart	2
#FF0000	0.136936589603905	2	10	rpart	2
#FF0000	0.0098521626725717	2	12	rpart	2
#FF0000	0.156004428978794	3	14	rpart	2
#FF0000	0.178880574394039	3	16	rpart	2
#FF0000	0.0141160272094551	3	18	rpart	2
#0000FF	0.339798738493759	1	2	featureless	2
#0000FF	0.273745957095115	1	4	featureless	2
#0000FF	0.454111361871588	1	6	featureless	2
#0000FF	0.333190203485519	2	8	featureless	2
#0000FF	0.273401166238335	2	10	featureless	2
#0000FF	0.454220548679739	2	12	featureless	2
#0000FF	0.347474991960616	3	14	featureless	2
#0000FF	0.274123393562444	3	16	featureless	2
#0000FF	0.454002628415861	3	18	featureless	2
#FF0000	1.79047076620848	1	1	rpart	3
#FF0000	1.60811054215759	1	3	rpart	3
#FF0000	1.47118617792993	1	5	rpart	3
#FF0000	2.16922679788691	2	7	rpart	3
#FF0000	2.10639610388143	2	9	rpart	3
#FF0000	2.06224812984313	2	11	rpart	3
#FF0000	0.0177859026311875	3	13	rpart	3
#FF0000	0.249879697455366	3	15	rpart	3
#FF0000	0.137812757396631	3	17	rpart	3
#0000FF	1.60633705576044	1	1	featureless	3
#0000FF	1.5020183790666	1	3	featureless	3
#0000FF	1.49165787685832	1	5	featureless	3
#0000FF	2.14680493253269	2	7	featureless	3
#0000FF	2.09469319291012	2	9	featureless	3
#0000FF	2.10009059822894	2	11	featureless	3
#0000FF	0.440181461486063	3	13	featureless	3
#0000FF	0.374616918278777	3	15	featureless	3
#0000FF	0.379731409043847	3	17	featureless	3
#FF0000	1.54633756808406	1	2	rpart	4
#FF0000	1.68278244725357	1	4	rpart	4
#FF0000	1.55492043405645	1	6	rpart	4
#FF0000	2.13250570666556	2	8	rpart	4
#FF0000	2.17217351339904	2	10	rpart	4
#FF0000	2.10674069158399	2	12	rpart	4
#FF0000	0.31569752149114	3	14	rpart	4
#FF0000	0.110474665152975	3	16	rpart	4
#FF0000	-0.0940918609085829	3	18	rpart	4
#0000FF	1.51456107901346	1	2	featureless	4
#0000FF	1.5864108833179	1	4	featureless	4
#0000FF	1.50880661429352	1	6	featureless	4
#0000FF	2.09502207688408	2	8	featureless	4
#0000FF	2.13861412486689	2	10	featureless	4
#0000FF	2.11031893862051	2	12	featureless	4
#0000FF	0.495019269532283	3	14	featureless	4
#0000FF	0.441333279591354	3	16	featureless	4
#0000FF	0.277700529449111	3	18	featureless	4
