colour	x	y	hjust	label	showSelected1	PANEL	group
#FFA500	6.58	75.5	1	subset=1	subset	1	2
#FFA500	6.58	225.5	1	subset=2	subset	1	2
#7F7F7F	0.42	25.5	0	fold=1	fold	1	1
#7F7F7F	0.42	75.5	0	fold=2	fold	1	1
#7F7F7F	0.42	125.5	0	fold=3	fold	1	1
#7F7F7F	0.42	175.5	0	fold=1	fold	1	1
#7F7F7F	0.42	225.5	0	fold=2	fold	1	1
#7F7F7F	0.42	275.5	0	fold=3	fold	1	1
#FFA500	12.58	75.5	1	subset=1	subset	2	2
#FFA500	12.58	225.5	1	subset=2	subset	2	2
#7F7F7F	6.42	25.5	0	fold=1	fold	2	1
#7F7F7F	6.42	75.5	0	fold=2	fold	2	1
#7F7F7F	6.42	125.5	0	fold=3	fold	2	1
#7F7F7F	6.42	175.5	0	fold=1	fold	2	1
#7F7F7F	6.42	225.5	0	fold=2	fold	2	1
#7F7F7F	6.42	275.5	0	fold=3	fold	2	1
#FFA500	18.58	75.5	1	subset=1	subset	3	2
#FFA500	18.58	225.5	1	subset=2	subset	3	2
#7F7F7F	12.42	25.5	0	fold=1	fold	3	1
#7F7F7F	12.42	75.5	0	fold=2	fold	3	1
#7F7F7F	12.42	125.5	0	fold=3	fold	3	1
#7F7F7F	12.42	175.5	0	fold=1	fold	3	1
#7F7F7F	12.42	225.5	0	fold=2	fold	3	1
#7F7F7F	12.42	275.5	0	fold=3	fold	3	1
