fill	xmin	xmax	ymin	ymax	clickSelects	showSelected1	PANEL
#D95F02	0.7	1.3	1	50	1	test	1
#1B9E77	0.7	1.3	51	150	1	train	1
#1B9E77	0.7	1.3	201	300	1	train	1
#D95F02	1.7	2.3	151	200	2	test	1
#1B9E77	1.7	2.3	51	150	2	train	1
#1B9E77	1.7	2.3	201	300	2	train	1
#D95F02	2.7	3.3	51	100	3	test	1
#1B9E77	2.7	3.3	1	50	3	train	1
#1B9E77	2.7	3.3	101	200	3	train	1
#1B9E77	2.7	3.3	251	300	3	train	1
#D95F02	3.7	4.3	201	250	4	test	1
#1B9E77	3.7	4.3	1	50	4	train	1
#1B9E77	3.7	4.3	101	200	4	train	1
#1B9E77	3.7	4.3	251	300	4	train	1
#D95F02	4.7	5.3	101	150	5	test	1
#1B9E77	4.7	5.3	1	100	5	train	1
#1B9E77	4.7	5.3	151	250	5	train	1
#D95F02	5.7	6.3	251	300	6	test	1
#1B9E77	5.7	6.3	1	100	6	train	1
#1B9E77	5.7	6.3	151	250	6	train	1
#D95F02	6.7	7.3	1	50	7	test	2
#1B9E77	6.7	7.3	201	300	7	train	2
#D95F02	7.7	8.3	151	200	8	test	2
#1B9E77	7.7	8.3	51	150	8	train	2
#D95F02	8.7	9.3	51	100	9	test	2
#1B9E77	8.7	9.3	151	200	9	train	2
#1B9E77	8.7	9.3	251	300	9	train	2
#D95F02	9.7	10.3	201	250	10	test	2
#1B9E77	9.7	10.3	1	50	10	train	2
#1B9E77	9.7	10.3	101	150	10	train	2
#D95F02	10.7	11.3	101	150	11	test	2
#1B9E77	10.7	11.3	151	250	11	train	2
#D95F02	11.7	12.3	251	300	12	test	2
#1B9E77	11.7	12.3	1	100	12	train	2
#D95F02	12.7	13.3	1	50	13	test	3
#1B9E77	12.7	13.3	51	150	13	train	3
#D95F02	13.7	14.3	151	200	14	test	3
#1B9E77	13.7	14.3	201	300	14	train	3
#D95F02	14.7	15.3	51	100	15	test	3
#1B9E77	14.7	15.3	1	50	15	train	3
#1B9E77	14.7	15.3	101	150	15	train	3
#D95F02	15.7	16.3	201	250	16	test	3
#1B9E77	15.7	16.3	151	200	16	train	3
#1B9E77	15.7	16.3	251	300	16	train	3
#D95F02	16.7	17.3	101	150	17	test	3
#1B9E77	16.7	17.3	1	100	17	train	3
#D95F02	17.7	18.3	251	300	18	test	3
#1B9E77	17.7	18.3	151	250	18	train	3
